id,name,created_at,updated_at
12334105,Shopin1901,12/10/10,12/4/11
12334112,Candisart,5/30/09,8/29/10
12334113,MiniatureBikez,3/30/10,1/21/13
12334115,LolaMarleys,6/9/08,4/16/15
12334123,Keckenbauer,7/15/10,7/25/12
12334132,perlesemoi,3/21/09,5/19/14
12334135,GoldenRayPress,12/13/11,4/16/12
12334141,jejum,6/25/07,9/9/15
12334144,Urcase17,3/28/00,3/25/06
12334145,BowlsByChris,1/14/03,3/11/05
12334146,MotankiDarena,2/4/06,2/1/16
12334149,TheLilPinkBowtique,11/19/04,1/17/14
12334155,DesignerEstore,1/16/13,2/17/14
12334159,SassyStrangeArt,11/18/02,10/9/07
12334160,byMarieinLondon,1/18/09,5/4/11
12334165,JUSTEmonsters,12/25/09,11/25/13
12334174,Uniford,1/26/00,1/19/02
12334176,thepurplepenshop,12/20/08,6/25/12
12334183,handicraftcallery,3/30/02,5/18/12
12334185,Madewithgitterxx,9/22/00,7/20/11
12334189,JacquieMann,11/9/03,1/12/13
12334193,TheHamAndRat,10/9/11,6/19/15
12334194,Lnjewelscreation,1/10/02,2/20/16
12334195,FlavienCouche,6/24/01,2/26/02
12334202,VectorCoast,7/15/06,12/5/07
12334207,BloominScents,2/26/04,8/3/12
12334208,GJGemology,12/31/02,6/26/06
12334213,MuttisStrickwaren,8/1/06,5/22/09
12334220,CottonBeeWraps,4/3/06,2/10/16
12334223,Snewzy,10/25/15,11/22/15
12334228,ElisabettaComotto,5/19/05,3/28/15
12334230,Hatsbybz,10/24/02,9/5/11
12334234,Princessfrankknits,9/22/02,1/25/10
12334235,WellnessNeelsen,6/11/02,12/10/11
12334236,GiftOfFelt,3/23/10,5/16/10
12334246,Corbeilwood,5/6/03,9/2/05
12334257,Woodenpenshop,7/19/11,6/4/14
12334261,esellermart,3/14/08,2/15/15
12334264,LunaGuatemala,2/8/13,8/30/13
12334266,FlyingLoaf,3/7/01,10/11/04
12334269,TeeTeeTieDye,8/26/11,2/1/13
12334271,TheAssemblyRooms,2/21/15,11/25/15
12334275,BrattyGirlGems,1/18/14,11/18/14
12334277,tmsDOM,4/20/04,8/4/09
12334280,MomsTshirts,5/30/14,2/25/16
12334281,justMstyle,1/10/00,1/24/03
12334284,CERAMICANDCO,4/8/02,6/5/15
12334289,outletEsteCeramiche,5/21/10,7/15/10
12334296,RedefinedArt84,7/15/13,5/6/14
12334299,ZazaBoutiqueShop,10/17/10,1/6/15
12334301,charlottewithlove,2/20/11,1/29/15
12334302,littledorisdesigns,9/8/07,11/7/11
12334303,SLHandmades,4/2/00,11/19/11
12334305,elkeyhandmade,3/18/06,9/11/08
12334315,Soudoveshop,11/18/07,4/23/10
12334319,dansoilpaintings,11/25/01,4/18/14
12334324,McGillsMetalAndArt,3/24/00,4/9/00
12334326,MMVinyl,5/22/13,10/20/13
12334333,wholesalergemstones,3/9/01,4/24/07
12334343,matthewbritts,9/29/13,10/1/13
12334346,MadFineJewelryLine,4/19/01,9/19/13
12334347,EkaterinaPa,8/7/06,10/11/15
12334348,WroughtiesCustomIron,12/14/01,4/10/02
12334353,fronishair,1/19/13,12/24/13
12334360,Natsweet2015,11/5/07,8/4/12
12334361,TheWoodchopDesign,7/27/05,6/27/11
12334364,ToThePoints,1/11/16,1/24/16
12334365,2MAKERSMARKET,3/19/15,4/9/15
12334371,homiehandmade,10/31/06,11/7/13
12334372,JewelrySpotByElaine,2/21/04,3/28/10
12334382,DizzyUnicornDesigns,9/2/07,11/13/10
12334389,WoodleyShop,7/6/01,3/16/03
12334393,PegAwayPegBoards,2/14/10,8/26/14
12334395,Jesuisunponey,2/25/11,11/10/11
12334397,BLAISEPANDORA,10/10/00,5/13/01
12334400,RRresale2016,1/14/04,10/25/10
12334401,Witoldart,11/6/09,2/23/16
12334403,IOleynikova,12/30/12,4/27/15
12334404,MyZinglet,11/21/05,11/14/14
12334405,Sikaf,3/7/01,11/30/13
12334407,MisisJuliBebe,1/11/10,9/24/11
12334411,leaburrot,2/25/06,5/28/13
12334413,kiDsGarMenT,8/17/07,2/7/08
12334420,EndlessCirclesHoops,12/20/00,5/27/07
12334423,ExecutiveGiftShoppe,4/7/15,11/10/15
12334434,TiffsOscPandora,3/2/15,6/10/15
12334442,isincerely88,5/20/05,1/5/08
12334443,FADIBEKA,1/2/11,11/8/15
12334444,Frockettoya,2/1/14,8/8/15
12334454,MaidichaToos,3/2/12,8/23/15
12334455,MyouBijou,4/22/05,2/22/12
12334460,CHALKLEYSWOODSHOP,5/5/07,6/21/09
12334471,Hollipoop,12/25/12,12/20/14
12334473,FrenchiezShop,8/13/14,6/26/15
12334478,DenesDoorDecor,12/20/04,6/23/15
12334488,OwlMuffs,5/6/05,9/27/14
12334490,AnnaWilsonArt,1/31/03,12/10/06
12334496,ElaineClausonArt,12/9/01,10/17/07
12334499,Madefromresin,7/15/07,4/11/14
